Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0805_2012Metric",56.930000,-35.270000,-90.000000,top
"C101","1u","C_0805_2012Metric",54.480000,-35.250000,-90.000000,top
"C102","22u","C_0805_2012Metric",41.460000,-52.480000,180.000000,top
"C103","22u","C_0805_2012Metric",38.500000,-57.230000,90.000000,top
"C104","22u","C_0805_2012Metric",46.250000,-18.180000,-90.000000,top
"C105","22u","C_0805_2012Metric",53.250000,-18.230000,-90.000000,top
"C106","DNP","C_0805_2012Metric",47.640000,-23.600000,90.000000,top
"C107","22u","C_0805_2012Metric",41.600000,-65.390000,-90.000000,top
"C108","100n","C_0603_1608Metric",48.870000,-63.200000,90.000000,top
"C200","10u","C_0805_2012Metric",23.770000,-26.855000,90.000000,top
"C201","100n","C_0603_1608Metric",25.820000,-26.830000,90.000000,top
"C202","100n","C_0603_1608Metric",29.390000,-40.050000,180.000000,top
"C203","100n","C_0603_1608Metric",37.390000,-40.000000,180.000000,top
"C204","100n","C_0603_1608Metric",41.550000,-27.360000,-90.000000,top
"C205","100n","C_0603_1608Metric",30.050000,-23.860000,0.000000,top
"C206","10n","C_0603_1608Metric",24.380000,-33.375000,90.000000,top
"C207","1u","C_0805_2012Metric",22.380000,-33.425000,90.000000,top
"C208","1u","C_0805_2012Metric",19.880000,-33.375000,90.000000,top
"C209","10p","C_0603_1608Metric",21.310000,-27.790000,90.000000,top
"C210","10p","C_0603_1608Metric",16.310000,-30.515000,180.000000,top
"C211","100n","C_0603_1608Metric",6.230000,-36.350000,0.000000,top
"C212","100n","C_0603_1608Metric",25.010000,-14.430000,0.000000,top
"C213","100n","C_0603_1608Metric",57.350000,-26.820000,180.000000,top
"C300","150p","C_0603_1608Metric",38.672500,-70.180000,90.000000,top
"C301","100n","C_0603_1608Metric",36.672500,-70.180000,90.000000,top
"C302","100n","C_0603_1608Metric",32.942500,-64.970000,90.000000,top
"C303","1n","C_0603_1608Metric",33.987500,-72.220000,180.000000,top
"C304","1n","C_0603_1608Metric",29.672500,-66.155000,0.000000,top
"C305","150p","C_0603_1608Metric",22.140000,-65.350000,90.000000,top
"C306","100n","C_0603_1608Metric",30.620000,-63.100000,90.000000,top
"C307","150p","C_0603_1608Metric",28.232500,-59.000000,0.000000,top
"C308","10u","C_0805_2012Metric",14.830000,-45.850000,180.000000,top
"C309","10u","C_0805_2012Metric",20.000000,-58.030000,180.000000,top
"C310","10u","C_0805_2012Metric",23.200000,-50.580000,-90.000000,top
"C311","100n","C_0603_1608Metric",25.450000,-50.505000,-90.000000,top
"C312","10u","C_0805_2012Metric",23.330000,-55.080000,-90.000000,top
"C313","100n","C_0603_1608Metric",25.450000,-55.030000,-90.000000,top
"C314","100n","C_0603_1608Metric",26.640000,-47.000000,180.000000,top
"C315","10u","C_0805_2012Metric",26.440000,-45.000000,180.000000,top
"C400","10u","C_0805_2012Metric",52.587500,-45.005000,180.000000,top
"C401","100n","C_0603_1608Metric",52.837500,-47.005000,180.000000,top
"C402","1u","C_0805_2012Metric",51.837500,-49.955000,-90.000000,top
"C403","1n","C_0603_1608Metric",56.490000,-58.490000,0.000000,top
"C404","150p","C_0603_1608Metric",59.855000,-64.040000,0.000000,top
"C405","1n","C_0603_1608Metric",53.207500,-61.975000,180.000000,top
"C406","100n","C_0603_1608Metric",52.100000,-67.015000,90.000000,top
"D100","GREEN","D_0805_2012Metric",61.450000,-17.760000,180.000000,top
"D200","LED_ARGB","LED_AAA3528LSEEZGKQBKS_KNB",6.579700,-39.325000,0.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",33.362500,-3.440000,0.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",36.330000,-10.090000,-90.000000,top
"D203","SD05_SOD323","D_SOD-323",33.280000,-14.440000,180.000000,top
